ADDRESS,LABEL_TYPE,LABEL_SUBTYPE,ADDRESS_NAME,PROJECT_NAME
7PRTWzmurMSKnupxCwwmJ3P9aRRdfnyhbgD3kUwevbLd,cex,deposit_wallet,binance deposit_wallet,binance
J5MWiTX1pkwwSdET41w9owaYtvMsuMRBZ7BLdi1DmiGB,cex,deposit_wallet,binance deposit_wallet,binance
B3Xu8j5DXaGSyY59X8YJEAqGm4S5GaaagAwZJtzJXJcA,cex,deposit_wallet,backpack exchange deposit_wallet,backpack exchange
DK8SBWcgmdvWADv9yHbje6wzPzEGk8qd8uhC793EgSDE,cex,deposit_wallet,binance deposit_wallet,binance
BTdfEdQ2oEPVep12vDCRA47iocQxbngw7XZCS1WmTQR1,cex,deposit_wallet,bybit deposit_wallet,bybit
EjLXjUYzLRPDErJrrp5PvmUZsjovMhAwgHPzbpRUjnBL,cex,deposit_wallet,binance deposit_wallet,binance
g3gyKQQZJ5bA5qRVhPWSiR9Bmajxqa64NM51XGoqU33,cex,deposit_wallet,kucoin deposit_wallet,kucoin
6V7MG3XqR1KJYrzWwqu9JmmJuZhmRKVtsCTVqnemD3yi,cex,deposit_wallet,binance deposit_wallet,binance
3z1y33ABA5djaEbvRhuwBGQsEb7ekXvKVGALYSE2FNPC,cex,deposit_wallet,coinbase deposit_wallet,coinbase
FFQxH5kkHXme3SJuiNTq2tnSGDXk81TXe95TUunJRV4V,cex,deposit_wallet,backpack exchange deposit_wallet,backpack exchange
DUEq7WSr8Pn6ymWnvABfhtqsxLx12m76NnYxyyJeEQRz,cex,deposit_wallet,kraken deposit_wallet,kraken
5nAHLp1CykhXJPCNMWKqjksdzTz1FE5Ap6m1Lb7eCmVq,cex,deposit_wallet,gate.io deposit_wallet,gate.io
Efy8GwXsqBSvMWU37jaq1i9JMeM7gUWW2Nh1oXRhGCep,cex,deposit_wallet,coinbase deposit_wallet,coinbase
57aKXxCdi3QGA4sLmWmoU7NzjLjA26kD6vf4Fx3kxoEy,cex,deposit_wallet,ftx deposit_wallet,ftx
5WYHYytUqXSmTwGtuygpdv2Gzy2L5MZ3kSmqqEgN44Y9,cex,deposit_wallet,kucoin deposit_wallet,kucoin
9FYA5mGrKzfXmdngt1WTnLrPtNA8chwtH3UgiPihLZ1H,cex,deposit_wallet,gate.io deposit_wallet,gate.io
CxBtaoiSEyZgsmGA4tBGCKwGR23KdVfASmHumKJSs7r9,cex,deposit_wallet,kucoin deposit_wallet,kucoin
BNmsd5WcUwDyremBdoWyAUPGSvMFQRzZguLWCQfxJReg,cex,deposit_wallet,kucoin deposit_wallet,kucoin
FNEQHWNxL7W31eUvmwTBz6oJbDBENmkFW1NWYyvRLjWk,cex,deposit_wallet,binance deposit_wallet,binance
CXnoLu9P3MPPEFXdyFtdj2MZ8pAXiku22sYCSakAfmx8,cex,deposit_wallet,coinbase deposit_wallet,coinbase
7nBtfzrpYSVoRzhoNSfHRFmAE9kwmLGJtvF925Jcovwo,cex,deposit_wallet,gate.io deposit_wallet,gate.io
AXxV6AhXnNYG7ctZWX1zoCRWThJAPnEBNPAjGsME93zh,cex,deposit_wallet,coinbase deposit_wallet,coinbase
8ANfnnmPwaiMd3eaFJLLtU64x2Eu6U2XPQ7pmkbDbuUK,cex,deposit_wallet,kucoin deposit_wallet,kucoin
5Jk8BmWssZW6iH3st8uqhiWwXqAGHVPzAq1yXXv22Rmo,cex,deposit_wallet,binance deposit_wallet,binance
AkTiyAriL9bMe6sFaLmrYEJ68fehwYFgxjY4jo4B2tph,cex,deposit_wallet,coinbase deposit_wallet,coinbase
HWsMu46jLvC1edp8NJWeDgmDhCYFTsMhBbLh48269c11,cex,deposit_wallet,kraken deposit_wallet,kraken
AM5M3P4REsBLEiRbxrKqa1H9rjsgwqXQ8CWQazmezZXD,cex,deposit_wallet,kraken deposit_wallet,kraken
J1qwjpzfBgDnJM9EfY4qxrVjS1pgQr2kwJd2ZnZCVDQY,cex,deposit_wallet,coinbase deposit_wallet,coinbase
